🇨🇳｜央视频道,#genre#
CCTV8,http://113.93.51.56:9999/udp/239.77.0.172:5146
CCTV8,http://113.93.51.56:9999/udp/239.77.0.181:5146
CCTV9,http://113.93.51.56:9999/udp/239.77.1.160:5146
CCTV9,http://113.93.51.56:9999/udp/239.77.1.168:5146
CCTV9,http://113.93.51.56:9999/udp/239.77.0.135:5146
CCTV10,http://113.93.51.56:9999/udp/239.77.1.113:5146
CCTV10,http://113.93.51.56:9999/udp/239.77.1.169:5146
CCTV10,http://113.93.51.56:9999/udp/239.77.0.134:5146
CCTV11,http://113.93.51.56:9999/udp/239.77.1.238:5146
CCTV12,http://113.93.51.56:9999/udp/239.77.1.109:5146
CCTV12,http://113.93.51.56:9999/udp/239.77.1.170:5146
CCTV12,http://113.93.51.56:9999/udp/239.77.0.136:5146
CCTV13,http://113.93.51.56:9999/udp/239.77.0.188:5146
CCTV13,http://113.93.51.56:9999/udp/239.253.43.196:5146
CCTV14,http://113.93.51.56:9999/udp/239.77.1.161:5146
CCTV14,http://113.93.51.56:9999/udp/239.77.1.171:5146
CCTV14,http://113.93.51.56:9999/udp/239.77.0.133:5146
CCTV15,http://113.93.51.56:9999/udp/239.77.1.239:5146
CCTV16,http://113.93.51.56:9999/udp/239.77.0.165:5146
CCTV16,http://113.93.51.56:9999/udp/239.77.1.76:5146
CCTV16,http://113.93.51.56:9999/udp/239.77.1.98:5146
CCTV17,http://113.93.51.56:9999/udp/239.77.1.121:5146
CCTV4K,http://113.93.51.56:9999/udp/239.77.0.194:5146
CCTV4K,http://113.93.51.56:9999/udp/239.77.0.174:5146
CGTN英语,http://113.93.51.56:9999/udp/239.77.0.45:5146
CGTN英语,http://113.93.51.56:9999/udp/239.77.1.27:5146
CGTN英语,http://113.93.51.56:9999/udp/239.77.0.199:5146
CGTN西班牙语,http://113.93.51.56:9999/udp/239.77.0.221:5146
CGTN法语,http://113.93.51.56:9999/udp/239.77.0.228:5146
CGTN阿拉伯语,http://113.93.51.56:9999/udp/239.253.43.200:5146
CGTN俄语,http://113.93.51.56:9999/udp/239.253.43.201:5146

CCTV1,http://tvbox6.com/tv/cctv.php?id=1
CCTV2,http://tvbox6.com/tv/cctv.php?id=2
CCTV3,http://tvbox6.com/tv/cctv.php?id=3
CCTV4,http://tvbox6.com/tv/cctv.php?id=4
CCTV5,http://tvbox6.com/tv/cctv.php?id=5
CCTV5+,http://tvbox6.com/tv/cctv.php?id=5p
CCTV6,http://tvbox6.com/tv/cctv.php?id=6
CCTV7,http://tvbox6.com/tv/cctv.php?id=7
CCTV8,http://tvbox6.com/tv/cctv.php?id=8
CCTV9,http://tvbox6.com/tv/cctv.php?id=9
CCTV10,http://tvbox6.com/tv/cctv.php?id=10
CCTV11,http://tvbox6.com/tv/cctv.php?id=11
CCTV12,http://tvbox6.com/tv/cctv.php?id=12
CCTV13,http://tvbox6.com/tv/cctv.php?id=13
CCTV14,http://tvbox6.com/tv/cctv.php?id=14
CCTV15,http://tvbox6.com/tv/cctv.php?id=15
CCTV16,http://tvbox6.com/tv/cctv.php?id=16
CCTV17,http://tvbox6.com/tv/cctv.php?id=17
CCTV4K,http://tvbox6.com/tv/cctv.php?id=4k

CCTV1,http://14.126.29.44:5000/udp/239.77.0.129:5146
CCTV1,http://14.126.29.44:5000/udp/239.77.1.17:5146
CCTV1,http://14.126.29.44:5000/udp/239.77.1.144:5146
CCTV1,http://14.126.29.44:5000/udp/239.77.0.86:5146
CCTV2,http://14.126.29.44:5000/udp/239.77.1.158:5146
CCTV2,http://14.126.29.44:5000/udp/239.253.43.17:5146
CCTV2,http://14.126.29.44:5000/udp/239.77.0.137:5146
CCTV3,http://14.126.29.44:5000/udp/239.77.0.169:5146
CCTV3,http://14.126.29.44:5000/udp/239.77.0.175:5146
CCTV4,http://14.126.29.44:5000/udp/239.77.1.163:5146
CCTV4,http://14.126.29.44:5000/udp/239.77.1.166:5146
CCTV4,http://14.126.29.44:5000/udp/239.77.0.78:5146
CCTV5,http://14.126.29.44:5000/udp/239.77.0.170:5146
CCTV5,http://14.126.29.44:5000/udp/239.77.0.177:5146
CCTV5+,http://14.126.29.44:5000/udp/239.77.0.87:5146
CCTV5+,http://14.126.29.44:5000/udp/239.77.1.31:5146
CCTV5+,http://14.126.29.44:5000/udp/239.77.1.147:5146
CCTV6,http://14.126.29.44:5000/udp/239.77.0.171:5146
CCTV6,http://14.126.29.44:5000/udp/239.77.0.178:5146
CCTV7,http://14.126.29.44:5000/udp/239.77.1.159:5146
CCTV7,http://14.126.29.44:5000/udp/239.77.1.167:5146
CCTV7,http://14.126.29.44:5000/udp/239.77.0.138:5146
CCTV8,http://14.126.29.44:5000/udp/239.77.0.172:5146
CCTV8,http://14.126.29.44:5000/udp/239.77.0.181:5146
CCTV9,http://14.126.29.44:5000/udp/239.77.1.160:5146
CCTV9,http://14.126.29.44:5000/udp/239.77.1.168:5146
CCTV9,http://14.126.29.44:5000/udp/239.77.0.135:5146
CCTV10,http://14.126.29.44:5000/udp/239.77.1.113:5146
CCTV10,http://14.126.29.44:5000/udp/239.77.1.169:5146
CCTV10,http://14.126.29.44:5000/udp/239.77.0.134:5146
CCTV11,http://14.126.29.44:5000/udp/239.77.1.238:5146
CCTV12,http://14.126.29.44:5000/udp/239.77.1.109:5146
CCTV12,http://14.126.29.44:5000/udp/239.77.1.170:5146
CCTV12,http://14.126.29.44:5000/udp/239.77.0.136:5146
CCTV13,http://14.126.29.44:5000/udp/239.77.0.188:5146
CCTV13,http://14.126.29.44:5000/udp/239.253.43.196:5146
CCTV14,http://14.126.29.44:5000/udp/239.77.1.161:5146
CCTV14,http://14.126.29.44:5000/udp/239.77.1.171:5146
CCTV14,http://14.126.29.44:5000/udp/239.77.0.133:5146
CCTV15,http://14.126.29.44:5000/udp/239.77.1.239:5146
CCTV16,http://14.126.29.44:5000/udp/239.77.0.165:5146
CCTV16,http://14.126.29.44:5000/udp/239.77.1.76:5146
CCTV16,http://14.126.29.44:5000/udp/239.77.1.98:5146
CCTV17,http://14.126.29.44:5000/udp/239.77.1.121:5146
CCTV4K,http://14.126.29.44:5000/udp/239.77.0.194:5146
CCTV4K,http://14.126.29.44:5000/udp/239.77.0.174:5146
CGTN英语,http://14.126.29.44:5000/udp/239.77.0.45:5146
CGTN英语,http://14.126.29.44:5000/udp/239.77.1.27:5146
CGTN英语,http://14.126.29.44:5000/udp/239.77.0.199:5146
CGTN西班牙语,http://14.126.29.44:5000/udp/239.77.0.221:5146
CGTN法语,http://14.126.29.44:5000/udp/239.77.0.228:5146
CGTN阿拉伯语,http://14.126.29.44:5000/udp/239.253.43.200:5146
CGTN俄语,http://14.126.29.44:5000/udp/239.253.43.201:5146




CCTV1,http://202.168.187.208:2024/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://202.168.187.208:2024/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://202.168.187.208:2024/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://202.168.187.208:2024/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://202.168.187.208:2024/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://202.168.187.208:2024/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://202.168.187.208:2024/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://202.168.187.208:2024/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://202.168.187.208:2024/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://202.168.187.208:2024/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://202.168.187.208:2024/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://202.168.187.208:2024/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://202.168.187.208:2024/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://202.168.187.208:2024/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://202.168.187.208:2024/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://202.168.187.208:2024/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://202.168.187.208:2024/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://202.168.187.208:2024/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0


CCTV1,http://116.21.120.40:4433/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://116.21.120.40:4433/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
